keys,ko,en
GHOST_SELECT,이번 삶의 유령,
GHOST_BASE,선택한 유령,
GHOST_SELECTED,선택됨 · 이 유령으로 출발,
GHOST_AVAILABLE,해금됨 · 클릭하여 선택,
GHOST_NAME_WANDERER,떠도는 유령,
GHOST_NAME_REAPER,사신 유령,
GHOST_NAME_ARCANIST,비술 유령,
GHOST_NAME_GUNSLINGER,총잡이 유령,
GHOST_ATTACK_WANDERER,느린 영혼탄,
GHOST_ATTACK_REAPER,영혼 베기,
GHOST_ATTACK_ARCANIST,충전 마법탄,
GHOST_ATTACK_GUNSLINGER,영혼 권총,
GHOST_DESC_WANDERER,느리고 큰 영혼탄을 연속으로 발사합니다. 적의 움직임을 예상해 쏘세요. 빙의하면 몬스터의 무기를 사용합니다.,
GHOST_DESC_REAPER,전방 3m의 적들을 넓게 벱니다. 가까이 파고들어 약화하고 빙의하세요. 벽 너머에는 닿지 않습니다.,
GHOST_DESC_ARCANIST,좌클릭을 0.8초 유지하면 강한 마법탄이 발사됩니다. 충전 중 놓으면 취소됩니다. 빙의하면 충전이 초기화됩니다.,
GHOST_DESC_GUNSLINGER,빠르고 약한 단발 사격으로 적을 약화합니다. 좌클릭 유지로 연속 사격하며 유령 상태에는 탄창 제한이 없습니다.,
GHOST_LOCK_REAPER,근거리 · 중간 보스 묘지기 격파로 해금,
GHOST_LOCK_ARCANIST,충전 마법 · 한 원정에서 서로 다른 몸 3종 빙의,
GHOST_LOCK_GUNSLINGER,정밀 사격 · 첫 원정 클리어로 해금,
GHOST_UNLOCK_REAPER,사신 유령 해금 · 다음 판부터 선택 가능,
GHOST_UNLOCK_ARCANIST,비술 유령 해금 · 다음 판부터 선택 가능,
GHOST_UNLOCK_GUNSLINGER,총잡이 유령 해금 · 다음 판부터 선택 가능,
GHOST_SAVE_ERROR,해금 저장 실패 · 저장 폴더를 확인하세요,
GAME_TITLE,POSSESS,
TITLE_EYEBROW,"빌린 육체, 남겨진 영혼",
TITLE_SUB,끝나지 않은 삶을 빌리다,
TITLE_DESC,"적의 몸을 빼앗고, 그 힘으로 지하를 돌파하세요.
몸은 사라져도 영혼에 새긴 힘은 남습니다.",
START,연습방에서 시작    Enter,
SKIP,전투로 바로 출발    Tab,
FOOTER,0.8   /   THE BORROWED FLESH,
BRIEF_TITLE,문 너머로,
BRIEF_SUB,전투 준비,
BRIEF_DESC,몸을 약화하고 빙의하세요. 방을 정리하면 출구가 열립니다.,
READY,전투 시작    Enter,
STAGE,현재 구역,
ENEMIES,남은 적,
HOST,빌린 몸,
SOUL,유령,
SOUL_LEVEL,영혼  Lv.%d                         %d / %d,
SECONDS,%.1f초,
AMMO,%02d / %d,
UNLIMITED,∞,
GHOST_WEAPON,유령탄,
HOST_FORMAT,%s,
DOOR,F 길게 · 몸을 유지하고 다음 방으로,
DOOR_END,F 길게 · 원정 마치기,
SUPPLY,F 길게 · 수명 +8초,
SECRET,F 길게 · 유물 봉인 해제,
TRAIN_MOVE,WASD로 앞의 표식까지 이동하세요,
TRAIN_WEAKEN,좌클릭으로 적을 약화하세요,
TRAIN_POSSESS,약해진 적을 조준하고 우클릭으로 빙의,
TRAIN_DOOR,몸을 빼앗았습니다 · 문 앞에서 F 길게,
TRAIN_INSPECT,Esc로 현재 몸을 확인하세요,
TRAIN_SUPPLY,보급 상자 가까이에서 F 길게 누르기,
TRAIN_ATTACK,새 몸의 무기로 공격하세요,
TRAIN_EJECT,E로 몸에서 나오세요,
AUG_EYEBROW,영혼 각인   /   시간 정지,
AUG_TITLE,무엇을 남길 것인가,
AUG_SUB,몸을 바꿔도 유지됩니다 · 한 가지 힘을 선택하세요,
AUG_TAG,%02d   /   %s   /   %d단계,
CHOOSE,[%d]  이 힘을 새기기,
REROLL,다시 제안 %d회    R,
AUG_FOOTER,클릭 또는 1 / 2 / 3 선택     ·     Esc 현재 몸 확인,
COMBO_READY,%s · 선택하면 조합 완성,
COMBO_NEED,%s · %s 필요,
PAUSE_TITLE,빌린 몸의 기록,
PAUSE_EYEBROW,시간 정지   /   전투와 부패가 멈췄습니다,
RESUME,돌아가기    Esc,
TAB_BODY,현재 몸,
TAB_JOURNAL,원정 기록,
TAB_CONTROLS,조작,
EMPTY_HOST,몸을 빌리면 개체 수치와 특성을 확인할 수 있습니다.,
DAMAGE,현재 공격 피해,
PELLET,산탄 1발 피해 (×6),
CHARGE,최대 충전 피해,
RATE,초당 공격 횟수,
MOVE,이동 속도,
RELOAD,재장전 시간,
LIFE,남은 시간 / 최대,
REDUCTION,피격 수명 감소율,
RESIST,개체 빙의 저항,
HEALTH,원래 몸의 체력,
NUM,%.1f,
SPEED,%.2f m/s,
PERCENT,%.0f%%,
LIFE_VALUE,%.1f / %.1f초,
NA,—,
IV,개체 수치   공격 %+.1f%%   /   이동 %+.1f%%   /   활력 %+.1f%%,
BUILD,영혼 각인   %s,
EMPTY_BUILD,아직 증강이 없습니다,
AUG_OWNED,%s %d단계 · %s,
SEPARATOR,    /    ,
LINES,"
",
ROUTE_TITLE,군주에게 이르는 길,
ROUTE_ROW,%s %d  %s,
ROUTE_CURRENT,>,
ROUTE_DONE,+,
ROUTE_FUTURE,·,
COMBOS_TITLE,조합 도감,
RELICS_TITLE,발견한 유물,
EMPTY_RELICS,보스 승리·비밀·의뢰로 발견합니다.,
COMBO_ROW,"%s %s
%s
%s
",
RELIC_ROW,"%s
%s
",
QUEST,의뢰  %s   %d / %d   ·   %s,
QUEST_DONE,완료,
QUEST_REWARD,보상: 유물,
CONTROLS,"WASD    이동         마우스    시점
좌클릭    공격         우클릭    빙의
F 길게    보급 · 출구 · 비밀         E    몸 이탈
Shift    회피         Space    점프
R    재장전 · 증강 다시 제안 · 결과 후 재시작
Esc    현재 몸 · 일시정지         J    원정 기록
M    음소거",
END_WIN,원정 완료,
END_LOSE,영혼 소멸,
END_SUB,여기까지 남긴 흔적,
END_STATS,빙의 %d회    /    처치 %d    /    %.1f초,
RESTART,새로운 삶    R,
ROOM_TRAINING,깨어나는 방,
ROOM_OSSUARY,납골당,
ROOM_HALL,잊힌 회랑,
ROOM_VAULT,감시자의 묘실,
ROOM_GALLERY,세 갈래 회랑,
ROOM_CROSSROADS,봉인된 교차로,
ROOM_TERRACES,상층 회랑,
ROOM_WARDEN,묘지기,
ROOM_SOVEREIGN,공허의 군주,
ROOM_NUMBER,%02d / %02d  ·  %s,
TOAST_INHABIT,새 몸을 빼앗았습니다,
TOAST_EXPOSED,정체가 드러났습니다,
TOAST_REJECTED,빙의 실패 · 적을 더 약화하세요,
TOAST_UNREACHABLE,가까운 적을 조준하세요,
TOAST_FOCUS,시간이 느려졌습니다 · 다음 몸을 고르세요,
TOAST_SUPPLY,보존제 획득 · 수명 회복,
TOAST_CLEAR,구역 확보 · 출구가 열렸습니다,
TOAST_WAVE,증원이 다가옵니다,
